"Line Numbers"	"  Si AT%"	"  Ti AT%"	"  Al AT%"	"  Fe AT%"	"  Mg AT%"	"  Ca AT%"	"  Na AT%"	"  Cr AT%"	"  Mn AT%"	"  Ni AT%"	"   O AT%"	"  Si WT%"	"  Ti WT%"	"  Al WT%"	"  Fe WT%"	"  Mg WT%"	"  Ca WT%"	"  Na WT%"	"  Cr WT%"	"  Mn WT%"	"  Ni WT%"	"   O WT%"	"SiO2  Oxide Percents"	"TiO2  Oxide Percents"	"Al2O3 Oxide Percents"	"FeO   Oxide Percents"	"MgO   Oxide Percents"	"CaO   Oxide Percents"	"Na2O  Oxide Percents"	"Cr2O3 Oxide Percents"	"MnO   Oxide Percents"	"NiO   Oxide Percents"	"       O"	"Oxide Totals"	"Si Detection Limits"	"Ti Detection Limits"	"Al Detection Limits"	"Fe Detection Limits"	"Mg Detection Limits"	"Ca Detection Limits"	"Na Detection Limits"	"Cr Detection Limits"	"Mn Detection Limits"	"Ni Detection Limits"	"Si Percent Errors"	"Ti Percent Errors"	"Al Percent Errors"	"Fe Percent Errors"	"Mg Percent Errors"	"Ca Percent Errors"	"Na Percent Errors"	"Cr Percent Errors"	"Mn Percent Errors"	"Ni Percent Errors"	"Si K-RAW"	"Ti K-RAW"	"Al K-RAW"	"Fe K-RAW"	"Mg K-RAW"	"Ca K-RAW"	"Na K-RAW"	"Cr K-RAW"	"Mn K-RAW"	"Ni K-RAW"	"Si ONCNT"	"Ti ONCNT"	"Al ONCNT"	"Fe ONCNT"	"Mg ONCNT"	"Ca ONCNT"	"Na ONCNT"	"Cr ONCNT"	"Mn ONCNT"	"Ni ONCNT"	"Si OFCNT"	"Ti OFCNT"	"Al OFCNT"	"Fe OFCNT"	"Mg OFCNT"	"Ca OFCNT"	"Na OFCNT"	"Cr OFCNT"	"Mn OFCNT"	"Ni OFCNT"	"Si NECNT"	"Ti NECNT"	"Al NECNT"	"Fe NECNT"	"Mg NECNT"	"Ca NECNT"	"Na NECNT"	"Cr NECNT"	"Mn NECNT"	"Ni NECNT"	"Si ONTIM"	"Ti ONTIM"	"Al ONTIM"	"Fe ONTIM"	"Mg ONTIM"	"Ca ONTIM"	"Na ONTIM"	"Cr ONTIM"	"Mn ONTIM"	"Ni ONTIM"	"Si HITIM"	"Ti HITIM"	"Al HITIM"	"Fe HITIM"	"Mg HITIM"	"Ca HITIM"	"Na HITIM"	"Cr HITIM"	"Mn HITIM"	"Ni HITIM"	"Si LOTIM"	"Ti LOTIM"	"Al LOTIM"	"Fe LOTIM"	"Mg LOTIM"	"Ca LOTIM"	"Na LOTIM"	"Cr LOTIM"	"Mn LOTIM"	"Ni LOTIM"	"Si DETIM"	"Ti DETIM"	"Al DETIM"	"Fe DETIM"	"Mg DETIM"	"Ca DETIM"	"Na DETIM"	"Cr DETIM"	"Mn DETIM"	"Ni DETIM"	" BEAMCUR"	"X Stage Coordinates (mm)"	"Y Stage Coordinates (mm)"	"Z Stage Coordinates (mm)"	" RELDIST"	"Si STDCT"	"Ti STDCT"	"Al STDCT"	"Fe STDCT"	"Mg STDCT"	"Ca STDCT"	"Na STDCT"	"Cr STDCT"	"Mn STDCT"	"Ni STDCT"
"Un   21  CK-7_AOI_1 (TKCS): "	 40	 15	 25	 10
     293	 18.6728	 .144228	 3.05368	 1.06391	 8.14943	 7.60299	 1.09323	 .221953	 .028003	 .015663	 59.9541	 24.2703	 .319714	 3.81306	 2.74967	 9.16641	 14.1023	 1.16313	 .534081	 .071195	 .042556	 44.3931	 51.9229	 .533302	 7.20470	 3.53745	 15.2007	 19.7319	 1.56787	 .780599	 .091930	 .054153	 .000004	 100.626	 .023542	 .042453	 .024603	 .039481	 .010337	 .007918	 .014494	 .011183	 .026137	 .035602	 .277518	 9.81447	 .864494	 1.97566	 .422265	 .235366	 1.81356	 1.49180	 18.6434	 40.4721	 1.25464	 .004807	 .175741	 .046081	 .237965	 .973578	 .120389	 .007033	 .001192	 .000480	 6652.01	 11.5515	 803.675	 152.167	 2823.67	 9044.27	 176.758	 545.872	 42.0790	 61.9405	 91.5384	 2.94928	 53.0285	 9.48691	 22.5534	 57.5462	 9.78654	 152.987	 31.8537	 55.9915	 6560.47	 8.60223	 750.646	 142.680	 2801.12	 8986.73	 166.971	 392.886	 10.2253	 5.94898	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.4300	 16.9867	 49.3583	 11.0895	 .000000	 5228.97	 1789.34	 4271.32	 3096.29	 11771.1	 9230.62	 1386.93	 55865.0	 8579.97	 12406.3
     294	 14.3416	 .000000	 .027584	 3.00972	 25.2474	 .049289	 .008282	 .003795	 .046360	 .089469	 57.1766	 19.2153	 .000000	 .035505	 8.01838	 29.2734	 .094240	 .009083	 .009413	 .121501	 .250579	 43.6415	 41.1084	 .000000	 .067086	 10.3156	 48.5442	 .131861	 .012244	 .013758	 .156887	 .318868	  .00000	 100.669	 .025102	 .043958	 .026652	 .039198	 .010007	 .007656	 .014777	 .010573	 .024370	 .036961	 .328131	 -125.22	 36.5430	 1.10728	 .231155	 4.78435	 79.0136	 53.5902	 10.8319	 7.89880	 .904610	 -.00025	 .001382	 .135292	 .785018	 .006472	 .000979	 .000128	 .002050	 .002821	 4816.46	 2.89899	 50.3185	 428.380	 9263.18	 112.983	 12.3823	 154.177	 45.7480	 95.2377	 86.3407	 3.34121	 44.4146	 9.48298	 22.5640	 53.2483	 11.0250	 146.999	 28.1557	 60.2451	 4730.12	 -.44222	 5.90396	 418.897	 9240.61	 59.7352	 1.35728	 7.17830	 17.5924	 34.9926	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.4400	 17.2023	 48.8520	 11.0895	 550.292	 5228.90	 1789.31	 4271.14	 3096.25	 11771.2	 9230.41	 1386.98	 55865.1	 8579.81	 12406.4
     295	 14.3669	 .000777	 .000000	 3.01468	 25.2696	 .028452	 .000000	 .003837	 .046473	 .084409	 57.1848	 19.2861	 .001779	 .000000	 8.04696	 29.3552	 .054504	 .000000	 .009537	 .122029	 .236859	 43.7312	 41.2599	 .002968	 .000000	 10.3524	 48.6797	 .076262	 .000000	 .013938	 .157568	 .301409	 .000004	 100.844	 .024733	 .039948	 .027001	 .039966	 .009741	 .007573	 .015499	 .010483	 .025286	 .036926	 .327554	 1063.01	 -91.058	 1.10700	 .230947	 7.55959	 -354.12	 52.4681	 11.1028	 8.29984	 .908058	 .000028	 -.00054	 .135764	 .787377	 .003743	 -.00022	 .000130	 .002059	 .002666	 4831.81	 2.80485	 43.2074	 430.195	 9289.81	 86.5691	 11.8101	 151.599	 47.9318	 93.1141	 83.7202	 2.75565	 45.5019	 9.84151	 21.3605	 52.0238	 12.1165	 144.326	 30.2642	 60.0384	 4748.09	 .049208	 -2.2945	 420.354	 9268.44	 34.5453	 -.30642	 7.27298	 17.6676	 33.0757	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.4025	 17.1725	 49.8933	 11.0895	 1592.02	 5228.84	 1789.29	 4270.96	 3096.22	 11771.3	 9230.20	 1387.02	 55865.3	 8579.65	 12406.5
     296	 18.6577	 .143808	 3.05247	 1.05196	 8.14174	 7.63199	 1.12762	 .217407	 .027920	 .011099	 59.9363	 24.3672	 .320316	 3.82987	 2.73186	 9.20177	 14.2241	 1.20548	 .525656	 .071325	 .030300	 44.5932	 52.1302	 .534305	 7.23648	 3.51453	 15.2593	 19.9024	 1.62496	 .768285	 .092097	 .038557	 .000000	 101.101	 .023751	 .043928	 .024757	 .041159	 .010564	 .007936	 .015048	 .011138	 .025860	 .036252	 .277242	 9.94665	 .863691	 1.99455	 .421938	 .234554	 1.78598	 1.50704	 18.4440	 57.4224	 1.25971	 .004816	 .176524	 .045778	 .238875	 .981965	 .124839	 .006921	 .001194	 .000341	 6679.74	 11.7678	 807.488	 152.027	 2835.40	 9121.24	 183.704	 538.055	 41.3615	 62.1919	 93.0162	 3.15117	 53.5956	 10.2905	 23.5189	 57.7007	 10.5443	 151.434	 31.1191	 57.9563	 6586.73	 8.61663	 753.893	 141.737	 2811.88	 9063.53	 173.160	 386.621	 10.2424	 4.23567	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.3875	 18.0484	 50.1451	 11.0895	 2503.39	 5228.78	 1789.27	 4270.77	 3096.18	 11771.4	 9229.99	 1387.07	 55865.5	 8579.49	 12406.6
"Un   22  CK-7_AOI_2 (TKCS): "	 40	 15	 25	 10
     297	 14.3613	 .012404	 .000000	 3.00602	 25.2594	 .024840	 .007124	 .001614	 .043638	 .098214	 57.1855	 19.3228	 .028463	 .000000	 8.04228	 29.4108	 .047695	 .007846	 .004020	 .114848	 .276231	 43.8321	 41.3383	 .047479	 .000000	 10.3464	 48.7719	 .066735	 .010576	 .005875	 .148296	 .351511	 .000004	 101.087	 .024787	 .039218	 .027052	 .038936	 .009786	 .007707	 .015018	 .010620	 .025420	 .035273	 .327220	 69.5966	 -98.039	 1.10583	 .230735	 8.61986	 92.5253	 125.189	 11.7666	 6.99903	 .909750	 .000440	 -.00050	 .135710	 .788603	 .003275	 .000845	 .000055	 .001938	 .003109	 4840.93	 3.44354	 43.5390	 429.526	 9304.57	 84.1324	 12.5445	 151.209	 47.2289	 93.3819	 84.1004	 2.65645	 45.6759	 9.34681	 21.5486	 53.9018	 11.3722	 148.144	 30.5996	 54.8056	 4756.83	 .787099	 -2.1369	 420.179	 9283.02	 30.2305	 1.17231	 3.06535	 16.6293	 38.5763	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.4100	 17.4079	 46.1700	 11.0890	 .000000	 5228.72	 1789.25	 4270.58	 3096.15	 11771.5	 9229.78	 1387.12	 55865.7	 8579.32	 12406.7
     298	 14.4027	 .003120	 .004853	 2.87288	 25.3048	 .040723	 .008928	 .002855	 .049082	 .107458	 57.2026	 19.2765	 .007123	 .006240	 7.64563	 29.3086	 .077778	 .009781	 .007074	 .128497	 .300640	 43.6146	 41.2394	 .011881	 .011790	 9.83608	 48.6025	 .108828	 .013184	 .010339	 .165920	 .382572	 .000000	 100.382	 .024289	 .044052	 .026175	 .038539	 .009663	 .007353	 .014133	 .010596	 .024367	 .036052	 .327379	 295.803	 198.937	 1.13510	 .230847	 5.46311	 70.5363	 71.2576	 10.3132	 6.60877	 .907721	 .000110	 .000243	 .128967	 .787762	 .005338	 .001057	 .000096	 .002168	 .003383	 4826.94	 3.54193	 43.8342	 408.446	 9294.30	 98.2552	 11.6098	 152.341	 46.6877	 99.1884	 80.7791	 3.34516	 42.7965	 9.14998	 21.1124	 48.9907	 10.1433	 146.957	 28.0906	 57.2166	 4746.16	 .196775	 1.03770	 399.296	 9273.18	 49.2645	 1.46656	 5.38486	 18.5971	 41.9718	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.4100	 16.9202	 46.0903	 11.0890	 494.168	 5228.66	 1789.23	 4270.40	 3096.11	 11771.6	 9229.57	 1387.17	 55865.8	 8579.16	 12406.8
     299	 18.7080	 .148148	 3.03409	 1.02741	 8.17167	 7.55567	 1.13299	 .232285	 .018958	 .009307	 59.9614	 24.3835	 .329312	 3.79909	 2.66269	 9.21688	 14.0533	 1.20877	 .560491	 .048334	 .025357	 44.5215	 52.1649	 .549311	 7.17832	 3.42554	 15.2844	 19.6634	 1.62939	 .819200	 .062411	 .032267	  .00000	 100.809	 .023829	 .042157	 .024449	 .037000	 .010598	 .007903	 .015988	 .011102	 .026815	 .036453	 .277095	 9.59024	 .866101	 1.99802	 .421357	 .235957	 1.79434	 1.43734	 27.4749	 68.7853	 1.26069	 .004951	 .175120	 .044612	 .239434	 .969963	 .125318	 .007378	 .000809	 .000286	 6685.30	 11.7620	 800.085	 146.438	 2842.25	 9009.35	 185.781	 562.640	 40.4060	 62.1613	 93.6889	 2.90356	 52.2871	 8.31704	 23.7129	 57.2204	 11.9375	 150.483	 33.4663	 58.6170	 6591.61	 8.85846	 747.798	 138.121	 2818.53	 8952.13	 173.843	 412.157	 6.93972	 3.54435	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.4000	 16.5849	 46.0011	 11.0890	 841.132	 5228.59	 1789.20	 4270.21	 3096.08	 11771.6	 9229.36	 1387.21	 55866.0	 8579.00	 12406.9
"Un   23  CK-7_AOI_3 (TKCS): "	 40	 15	 25	 10
