"Line Numbers"	              "SiO2  Oxide Percents"	"TiO2  Oxide Percents"	"Al2O3 Oxide Percents"	"FeO   Oxide Percents"	"MgO   Oxide Percents"	"CaO   Oxide Percents"	"Na2O  Oxide Percents"	"Cr2O3 Oxide Percents"	"MnO   Oxide Percents"	"NiO   Oxide Percents"	"Si Formula Atoms"	"Ti Formula Atoms"	"Al Formula Atoms"	"Fe Formula Atoms"	"Mg Formula Atoms"	"Ca Formula Atoms"	"Na Formula Atoms"	"Cr Formula Atoms"	"Mn Formula Atoms"	"Ni Formula Atoms"	"Oxide Totals"	"Formula Totals"	"X Stage Coordinates (mm)"	"Y Stage Coordinates (mm)"	"Z Stage Coordinates (mm)"	"Si Detection Limits"	"Ti Detection Limits"	"Al Detection Limits"	"Fe Detection Limits"	"Mg Detection Limits"	"Ca Detection Limits"	"Na Detection Limits"	"Cr Detection Limits"	"Mn Detection Limits"	"Ni Detection Limits"	"Si Percent Errors"	"Ti Percent Errors"	"Al Percent Errors"	"Fe Percent Errors"	"Mg Percent Errors"	"Ca Percent Errors"	"Na Percent Errors"	"Cr Percent Errors"	"Mn Percent Errors"	"Ni Percent Errors"	
82.000000   	  40.830944   	.000000     	.049308     	9.027104    	49.440914   	.100682     	.000000     	.015965     	.127563     	.354414     	1.498163    	.000000     	.002132     	.277002     	2.704397    	.003958     	.000000     	.000463     	.003965     	.010459     	99.946899   	10.500539   	18.114201   	86.866302   	11.022000   	.024754     	.045353     	.025841     	.040002     	.009640     	.007433     	.015466     	.010707     	.024996     	.035860     	.330099     	-127.17182  	47.866806   	1.189925    	.229382     	5.878449    	-192.65955  	46.853737   	13.307941   	7.045695    	
83.000000   	  51.858578   	.201204     	4.925619    	3.127453    	16.790718   	20.338282   	1.091426    	1.284313    	.064991     	.054880     	1.887529    	.005507     	.211295     	.095198     	.911080     	.793145     	.077023     	.036960     	.002004     	.001607     	99.737442   	10.021347   	17.125601   	86.442703   	11.022000   	.023482     	.046909     	.024821     	.041192     	.010795     	.008113     	.016243     	.011179     	.026953     	.036568     	.277963     	22.134369   	1.075709    	2.131897    	.403673     	.232487     	2.279085    	1.065007    	26.574217   	40.991444   	
84.000000   	  40.013226   	.132762     	.266294     	9.134046    	49.205975   	.127994     	.000000     	.025977     	.098796     	.373963     	1.479747    	.003692     	.011607     	.282496     	2.712789    	.005072     	.000000     	.000760     	.003095     	.011123     	99.379028   	10.510380   	16.541599   	86.573097   	11.022000   	.024265     	.045725     	.026709     	.035934     	.010261     	.007437     	.015176     	.010635     	.026135     	.035731     	.333826     	30.995583   	10.032401   	1.177497    	.230324     	4.819065    	-247.27829  	28.856455   	17.444441   	6.708171    	
"Un   31  CK-4_AOI_2_(2)"
703.000000  	  55.358440   	.088328     	4.061116    	5.928041    	32.786491   	1.130005    	.108037     	.653417     	.147750     	.084834     	1.907287    	.002289     	.164905     	.170808     	1.683998    	.041714     	.007217     	.017799     	.004312     	.002351     	100.346466  	10.002680   	9.303900    	77.969498   	10.998000   	.023272     	.040625     	.024528     	.036842     	.010213     	.007650     	.015144     	.010815     	.024393     	.035018     	.275224     	40.654274   	1.237212    	1.484734    	.282163     	1.082983    	10.985230   	1.673244    	11.458309   	25.824337   	
704.000000  	  55.583645   	.112713     	3.931922    	5.895519    	32.519283   	1.129445    	.100241     	.627221     	.142839     	.081190     	1.917394    	.002924     	.159855     	.170079     	1.672321    	.041744     	.006704     	.017107     	.004174     	.002252     	100.124031  	9.994555    	9.585800    	77.310204   	10.998000   	.023751     	.048387     	.025039     	.038146     	.009782     	.007119     	.014833     	.010886     	.025009     	.035169     	.274625     	37.546791   	1.265817    	1.492617    	.283241     	1.070927    	11.531299   	1.729773    	12.038447   	27.043707   	
705.000000  	  55.353085   	.146266     	3.990432    	5.826116    	32.909939   	1.128818    	.094502     	.564842     	.127181     	.092600     	1.907983    	.003791     	.162110     	.167949     	1.691119    	.041689     	.006316     	.015394     	.003713     	.002567     	100.233780  	10.002631   	8.593800    	77.291000   	10.998000   	.023762     	.044523     	.024354     	.037177     	.009746     	.007271     	.014424     	.010661     	.025334     	.034507     	.275378     	27.950586   	1.248651    	1.499506    	.281393     	1.074796    	11.885294   	1.851039    	13.499126   	23.429945   	
706.000000  	  54.697113   	.015230     	3.925672    	5.911715    	33.094578   	1.118086    	.091822     	.675920     	.128959     	.080739     	1.898098    	.000397     	.160555     	.171566     	1.712086    	.041571     	.006178     	.018545     	.003791     	.002253     	99.739830   	10.015042   	16.909599   	87.096100   	11.022000   	.022805     	.044841     	.024829     	.037395     	.009626     	.007470     	.015267     	.010708     	.025139     	.035839     	.276988     	235.797150  	1.266849    	1.488459    	.280652     	1.085462    	12.658257   	1.625096    	13.248112   	27.667965   	
"Un   32  CK-4_D1a_(AOI_2)"
707.000000  	  52.135971   	.154788     	4.859912    	3.091142    	16.655092   	20.254076   	1.115972    	1.280272    	.067686     	.046723     	1.896926    	.004235     	.208400     	.094058     	.903388     	.789570     	.078726     	.036830     	.002086     	.001367     	99.661652   	10.015587   	9.039500    	77.787003   	11.003000   	.023837     	.044192     	.024115     	.039589     	.009775     	.007985     	.015353     	.011114     	.026180     	.036179     	.277212     	26.532764   	1.078461    	2.134616    	.404732     	.232957     	2.228756    	1.065288    	24.909639   	47.482975   	
