"Un    2  CK-5_AOI_1 (TKCS): "	 40	 15	 25	 10
"    LINE"	"  Si AT%"	"  Ti AT%"	"  Al AT%"	"  Fe AT%"	"  Mg AT%"	"  Ca AT%"	"  Na AT%"	"  Cr AT%"	"  Mn AT%"	"  Ni AT%"	"   O AT%"	"  Si WT%"	"  Ti WT%"	"  Al WT%"	"  Fe WT%"	"  Mg WT%"	"  Ca WT%"	"  Na WT%"	"  Cr WT%"	"  Mn WT%"	"  Ni WT%"	"   O WT%"	"    SiO2"	"    TiO2"	"   Al2O3"	"     FeO"	"     MgO"	"     CaO"	"    Na2O"	"   Cr2O3"	"     MnO"	"     NiO"	"       O"	"   TOTAL"	"Si CDL99"	"Ti CDL99"	"Al CDL99"	"Fe CDL99"	"Mg CDL99"	"Ca CDL99"	"Na CDL99"	"Cr CDL99"	"Mn CDL99"	"Ni CDL99"	"Si %ERR "	"Ti %ERR "	"Al %ERR "	"Fe %ERR "	"Mg %ERR "	"Ca %ERR "	"Na %ERR "	"Cr %ERR "	"Mn %ERR "	"Ni %ERR "	"Si K-RAW"	"Ti K-RAW"	"Al K-RAW"	"Fe K-RAW"	"Mg K-RAW"	"Ca K-RAW"	"Na K-RAW"	"Cr K-RAW"	"Mn K-RAW"	"Ni K-RAW"	"Si ONCNT"	"Ti ONCNT"	"Al ONCNT"	"Fe ONCNT"	"Mg ONCNT"	"Ca ONCNT"	"Na ONCNT"	"Cr ONCNT"	"Mn ONCNT"	"Ni ONCNT"	"Si OFCNT"	"Ti OFCNT"	"Al OFCNT"	"Fe OFCNT"	"Mg OFCNT"	"Ca OFCNT"	"Na OFCNT"	"Cr OFCNT"	"Mn OFCNT"	"Ni OFCNT"	"Si NECNT"	"Ti NECNT"	"Al NECNT"	"Fe NECNT"	"Mg NECNT"	"Ca NECNT"	"Na NECNT"	"Cr NECNT"	"Mn NECNT"	"Ni NECNT"	"Si ONTIM"	"Ti ONTIM"	"Al ONTIM"	"Fe ONTIM"	"Mg ONTIM"	"Ca ONTIM"	"Na ONTIM"	"Cr ONTIM"	"Mn ONTIM"	"Ni ONTIM"	"Si HITIM"	"Ti HITIM"	"Al HITIM"	"Fe HITIM"	"Mg HITIM"	"Ca HITIM"	"Na HITIM"	"Cr HITIM"	"Mn HITIM"	"Ni HITIM"	"Si LOTIM"	"Ti LOTIM"	"Al LOTIM"	"Fe LOTIM"	"Mg LOTIM"	"Ca LOTIM"	"Na LOTIM"	"Cr LOTIM"	"Mn LOTIM"	"Ni LOTIM"	"Si DETIM"	"Ti DETIM"	"Al DETIM"	"Fe DETIM"	"Mg DETIM"	"Ca DETIM"	"Na DETIM"	"Cr DETIM"	"Mn DETIM"	"Ni DETIM"	" BEAMCUR"	"   X-POS"	"   Y-POS"	"   Z-POS"	" RELDIST"	"Si STDCT"	"Ti STDCT"	"Al STDCT"	"Fe STDCT"	"Mg STDCT"	"Ca STDCT"	"Na STDCT"	"Cr STDCT"	"Mn STDCT"	"Ni STDCT"
     224	 19.0162	 .011527	 1.87613	 1.83962	 16.7216	 .296208	 .067460	 .115228	 .044965	 .016182	 59.9949	 26.1218	 .027004	 2.47585	 5.02477	 19.8775	 .580647	 .075853	 .293033	 .120819	 .046466	 46.9486	 55.8838	 .045044	 4.67807	 6.46435	 32.9629	 .812443	 .102248	 .428290	 .156005	 .059129	  .00000	 101.592	 .023522	 .044207	 .025313	 .040283	 .009996	 .007502	 .014879	 .010674	 .024705	 .035953	 .273654	 81.3763	 1.14845	 1.42563	 .280065	 1.31091	 11.3465	 2.27996	 11.0109	 37.5065	 1.29001	 .000413	 .105983	 .084264	 .538503	 .039602	 .008248	 .003926	 .002027	 .000521	 6834.17	 4.04581	 502.572	 270.976	 6358.58	 416.514	 22.6967	 363.010	 45.9870	 62.8143	 83.2233	 3.30572	 48.5276	 9.86787	 22.8593	 50.3859	 11.2848	 143.704	 28.5684	 56.3494	 6750.95	 .740091	 454.045	 261.108	 6335.72	 366.128	 11.4118	 219.306	 17.4186	 6.46487	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.3350	 78.9436	 43.9232	 11.1275	 65.8514	 5233.24	 1790.84	 4284.11	 3098.67	 11765.4	 9245.13	 1383.64	 55853.2	 8591.16	 12399.7
     225	 18.9878	 .006148	 1.89158	 1.84808	 16.7451	 .295609	 .073279	 .110896	 .037574	 .024705	 59.9793	 26.0569	 .014388	 2.49378	 5.04287	 19.8857	 .578900	 .082314	 .281737	 .100860	 .070868	 46.8899	 55.7451	 .024000	 4.71195	 6.48764	 32.9765	 .809998	 .110958	 .411779	 .130235	 .090181	 -.00001	 101.498	 .023820	 .046414	 .025534	 .037854	 .009749	 .007518	 .014998	 .010507	 .024891	 .035601	 .274010	 156.124	 1.14508	 1.41631	 .279845	 1.31344	 10.6573	 2.32977	 13.0090	 24.7142	 1.28629	 .000220	 .106709	 .084580	 .538624	 .039482	 .008949	 .003776	 .001693	 .000795	 6816.75	 4.04182	 506.520	 270.808	 6358.94	 415.659	 23.8573	 350.315	 43.5754	 65.1681	 85.3605	 3.64750	 49.3859	 8.72440	 21.7567	 50.6479	 11.4746	 139.427	 29.0332	 55.3079	 6731.39	 .394324	 457.134	 262.083	 6337.18	 365.012	 12.3827	 210.888	 14.5422	 9.86017	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.3600	 78.9377	 43.9078	 11.1275	 82.3447	 5233.18	 1790.82	 4283.93	 3098.64	 11765.5	 9244.92	 1383.69	 55853.4	 8591.00	 12399.8
     226	 19.0276	 .051365	 1.88107	 1.84216	 16.6546	 .289366	 .063700	 .111620	 .035583	 .021195	 60.0217	 26.1925	 .120589	 2.48761	 5.04232	 19.8396	 .568432	 .071777	 .284456	 .095812	 .060988	 47.0686	 56.0352	 .201149	 4.70030	 6.48693	 32.9000	 .795351	 .096753	 .415753	 .123716	 .077609	  .00000	 101.833	 .023162	 .037017	 .025171	 .037454	 .009740	 .007436	 .014707	 .010767	 .024550	 .034824	 .273103	 18.9380	 1.14382	 1.41601	 .280313	 1.32524	 11.7901	 2.34542	 13.4761	 27.9756	 1.29398	 .001846	 .106545	 .084568	 .537249	 .038779	 .007799	 .003811	 .001608	 .000684	 6852.33	 5.62357	 504.450	 270.577	 6342.74	 408.035	 21.8042	 359.136	 42.0311	 61.3711	 80.7671	 2.31848	 48.0388	 8.53383	 21.6927	 49.5373	 11.0127	 146.251	 28.2175	 52.8849	 6771.56	 3.30509	 456.411	 262.043	 6321.05	 358.497	 10.7915	 212.885	 13.8136	 8.48618	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.3400	 78.9259	 43.8937	 11.1275	 100.727	 5233.11	 1790.80	 4283.74	 3098.60	 11765.6	 9244.71	 1383.73	 55853.5	 8590.84	 12399.9
     227	 8.41445	 .030824	 15.0642	 2.74374	 13.5747	 .116987	 .032904	 1.55485	 .032482	 .065611	 58.3692	 11.1937	 .069933	 19.2522	 7.25777	 15.6274	 .222088	 .035830	 3.82929	 .084524	 .182451	 44.2347	 23.9474	 .116653	 36.3767	 9.33710	 25.9149	 .310746	 .048297	 5.59680	 .109141	 .232173	 .000004	 101.990	 .026490	 .041630	 .026191	 .039144	 .011126	 .007577	 .015307	 .010748	 .025575	 .036853	 .447089	 32.2100	 .375780	 1.16421	 .319837	 2.45668	 22.3779	 .430963	 15.5978	 10.4813	 .502500	 .001101	 .839318	 .123242	 .414091	 .015461	 .003743	 .052459	 .001440	 .002071	 2716.90	 5.07693	 3649.19	 391.437	 4899.18	 196.536	 16.2169	 3082.51	 43.9698	 86.3677	 87.2933	 3.10530	 53.9262	 9.56243	 27.1245	 53.6056	 11.0375	 152.456	 31.5966	 60.6816	 2629.61	 1.97163	 3595.26	 381.875	 4872.06	 142.930	 5.17940	 2930.05	 12.3732	 25.6861	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.3600	 78.9112	 43.8810	 11.1275	 120.154	 5233.05	 1790.77	 4283.55	 3098.57	 11765.7	 9244.50	 1383.78	 55853.7	 8590.67	 12400.0
     228	 .021933	 .016678	 25.1819	 3.59524	 11.3741	 .002296	 .005618	 2.67325	 .034636	 .112710	 56.9817	 .027695	 .035917	 30.5473	 9.02689	 12.4287	 .004138	 .005806	 6.24913	 .085548	 .297500	 40.9889	 .059250	 .059911	 57.7185	 11.6131	 20.6105	 .005790	 .007827	 9.13356	 .110463	 .378576	  .00000	 99.6974	 .028230	 .045023	 .028373	 .038271	 .011673	 .007480	 .016141	 .010860	 .025162	 .036679	 48.8869	 62.9934	 .295651	 1.03340	 .362648	 86.2726	 133.341	 .328648	 15.2038	 6.74130	 .001162	 .000578	 1.34641	 .154795	 .323459	 .000293	 .000588	 .087144	 .001475	 .003408	 92.6574	 4.83190	 5831.83	 488.955	 3834.53	 56.6073	 12.3264	 5028.55	 43.9828	 103.458	 86.5766	 3.79649	 64.6648	 9.31859	 28.7895	 53.9017	 11.5134	 161.240	 31.3101	 61.1924	 6.08083	 1.03542	 5767.16	 479.636	 3805.74	 2.70565	 .813075	 4867.31	 12.6727	 42.2651	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.3525	 78.8979	 43.8709	 11.1275	 136.854	 5232.99	 1790.75	 4283.37	 3098.53	 11765.8	 9244.29	 1383.83	 55853.9	 8590.51	 12400.1
     229	 19.0826	 .046980	 1.84384	 1.82608	 16.6744	 .291813	 .067801	 .084030	 .034718	 .017944	 60.0298	 26.1304	 .109716	 2.42558	 4.97207	 19.7589	 .570231	 .075996	 .213022	 .092992	 .051362	 46.8279	 55.9022	 .183012	 4.58309	 6.39655	 32.7663	 .797868	 .102441	 .311347	 .120075	 .065359	 -.00001	 101.228	 .023779	 .035383	 .025476	 .038062	 .009914	 .007464	 .015733	 .010620	 .024974	 .035526	 .273405	 19.8758	 1.16285	 1.42741	 .280640	 1.32339	 11.7602	 2.93516	 14.0371	 33.6469	 1.29140	 .001678	 .103907	 .083373	 .535504	 .038889	 .008268	 .002853	 .001560	 .000576	 6843.07	 5.12420	 494.329	 267.151	 6323.19	 409.427	 24.0943	 301.740	 42.6220	 62.2348	 85.2858	 2.11865	 49.2749	 8.81942	 22.5385	 49.9384	 12.6526	 142.369	 29.2189	 55.0892	 6757.78	 3.00555	 445.054	 258.331	 6300.65	 359.489	 11.4417	 159.371	 13.4031	 7.14568	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.3700	 79.1486	 43.8978	 11.1275	 388.987	 5232.93	 1790.73	 4283.19	 3098.50	 11765.8	 9244.08	 1383.88	 55854.0	 8590.35	 12400.2
     230	 19.0442	 .016140	 1.83523	 1.85414	 16.7593	 .287510	 .064385	 .083745	 .042676	 .018898	 59.9938	 26.1211	 .037756	 2.41827	 5.05687	 19.8925	 .562754	 .072287	 .212651	 .114496	 .054183	 46.8776	 55.8823	 .062980	 4.56927	 6.50564	 32.9878	 .787407	 .097441	 .310805	 .147842	 .068949	 .000000	 101.420	 .022958	 .044803	 .025442	 .037730	 .009954	 .007309	 .014961	 .010534	 .025050	 .034909	 .273287	 60.0449	 1.16508	 1.41366	 .279705	 1.32796	 11.8517	 2.92374	 11.6714	 31.4287	 1.29010	 .000578	 .103483	 .084805	 .538985	 .038377	 .007862	 .002850	 .001921	 .000608	 6830.34	 4.43353	 492.258	 271.436	 6364.37	 402.638	 22.3160	 299.412	 45.9145	 60.7445	 79.4115	 3.39903	 49.0423	 8.66985	 22.7147	 47.8845	 11.4362	 140.240	 29.4102	 53.2060	 6750.93	 1.03449	 443.216	 262.766	 6341.65	 354.753	 10.8798	 159.172	 16.5043	 7.53848	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.3750	 79.1353	 43.8835	 11.1275	 408.516	 5232.87	 1790.71	 4283.00	 3098.47	 11765.9	 9243.87	 1383.93	 55854.2	 8590.19	 12400.3
     231	 18.9970	 .023049	 1.84710	 1.88990	 16.7458	 .288991	 .069196	 .089593	 .049545	 .022971	 59.9769	 26.0600	 .053924	 2.43424	 5.15512	 19.8793	 .565732	 .077700	 .227533	 .132944	 .065870	 46.8709	 55.7516	 .089949	 4.59945	 6.63204	 32.9658	 .791573	 .104738	 .332556	 .171663	 .083821	 .000004	 101.523	 .024158	 .042116	 .025927	 .038365	 .009463	 .007552	 .014458	 .010594	 .024626	 .035198	 .274022	 41.0958	 1.16491	 1.40068	 .279896	 1.33308	 10.9152	 2.77652	 10.0971	 26.2353	 1.28668	 .000825	 .104120	 .086478	 .537980	 .038594	 .008437	 .003051	 .002231	 .000739	 6820.81	 4.48367	 496.796	 276.914	 6350.36	 407.897	 22.3204	 312.393	 47.5990	 63.2697	 87.8545	 3.00553	 50.8706	 8.96726	 20.4757	 51.1462	 10.6445	 141.981	 28.4305	 54.1034	 6732.96	 1.47814	 445.926	 267.947	 6329.88	 356.751	 11.6759	 170.412	 19.1685	 9.16629	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.3700	 79.1559	 43.8810	 11.1275	 429.266	 5232.80	 1790.69	 4282.81	 3098.43	 11766.0	 9243.66	 1383.97	 55854.4	 8590.02	 12400.4
     232	 .014319	 .028511	 25.1454	 3.64980	 11.3432	 .000000	 .000000	 2.70541	 .030790	 .098396	 56.9841	 .018095	 .061448	 30.5272	 9.17112	 12.4047	 .000000	 .000000	 6.32931	 .076109	 .259922	 41.0231	 .038712	 .102499	 57.6807	 11.7986	 20.5707	 .000000	 .000000	 9.25075	 .098275	 .330758	  .00000	 99.8710	 .027269	 .042226	 .028435	 .037705	 .011419	 .007518	 .016569	 .010905	 .025709	 .037276	 71.9054	 36.4299	 .295610	 1.02364	 .362820	 -191.36	 -108.42	 .326201	 17.2405	 7.68343	 .000760	 .000990	 1.34521	 .157278	 .322471	 -.00013	 -.00071	 .088310	 .001313	 .002978	 84.9367	 5.12016	 5826.02	 496.367	 3821.75	 53.3723	 11.1266	 5095.54	 44.0163	 100.251	 80.9622	 3.34779	 64.9914	 9.05891	 27.5304	 54.5770	 12.1132	 162.999	 32.7409	 63.3180	 3.97451	 1.77237	 5761.03	 487.308	 3794.22	 -1.2047	 -.98654	 4932.54	 11.2754	 36.9334	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.3900	 79.4377	 43.6218	 11.1275	 812.145	 5232.74	 1790.66	 4282.63	 3098.40	 11766.1	 9243.45	 1384.02	 55854.6	 8589.86	 12400.4
     233	 .018991	 .045305	 25.1170	 3.57233	 11.3942	 .000000	 .000000	 2.71869	 .034674	 .107811	 56.9911	 .023922	 .097329	 30.3952	 8.94780	 12.4206	 .000000	 .000000	 6.34008	 .085436	 .283882	 40.8970	 .051178	 .162350	 57.4313	 11.5113	 20.5972	 .000000	 .000000	 9.26649	 .110318	 .361248	 -.00001	 99.4913	 .027675	 .040659	 .028868	 .040290	 .011656	 .007555	 .016862	 .010909	 .025985	 .036403	 55.3881	 23.7327	 .296395	 1.03962	 .362556	 -262.26	 -69.735	 .326062	 15.6356	 6.98193	 .001004	 .001567	 1.33931	 .153429	 .323160	 -.00010	 -.00112	 .088384	 .001473	 .003253	 88.6388	 5.90847	 5802.47	 485.717	 3831.09	 54.2147	 11.0292	 5099.45	 46.0889	 100.705	 83.3844	 3.10193	 66.9606	 10.3399	 28.7310	 55.0993	 12.5752	 162.808	 33.4335	 60.3696	 5.25440	 2.80654	 5735.51	 475.377	 3802.36	 -.88461	 -1.5459	 4936.64	 12.6553	 40.3350	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.3875	 79.4140	 43.6093	 11.1275	 838.937	 5232.68	 1790.64	 4282.44	 3098.36	 11766.2	 9243.23	 1384.07	 55854.7	 8589.70	 12400.5
     234	 .007709	 .041047	 25.1743	 3.58612	 11.3563	 .000000	 .000000	 2.69585	 .041803	 .104970	 56.9919	 .009778	 .088790	 30.6746	 9.04424	 12.4647	 .000000	 .000000	 6.33015	 .103712	 .278309	 41.1795	 .020919	 .148108	 57.9591	 11.6354	 20.6701	 .000000	 .000000	 9.25198	 .133917	 .354155	 .000000	 100.174	 .028500	 .044657	 .028103	 .041140	 .011583	 .007594	 .016242	 .010709	 .024789	 .037105	 138.233	 27.4668	 .294769	 1.03468	 .361839	 -94.755	 -48.219	 .325924	 12.6094	 7.20759	 .000410	 .001430	 1.35218	 .155086	 .324332	 -.00026	 -.00153	 .088260	 .001788	 .003189	 90.5507	 6.30175	 5853.91	 491.289	 3844.56	 53.2245	 9.55114	 5086.72	 45.7889	 102.271	 88.4034	 3.74165	 63.5142	 10.7818	 28.3837	 55.6681	 11.6710	 156.966	 30.4268	 62.7273	 2.14725	 2.56010	 5790.40	 480.507	 3816.18	 -2.4436	 -2.1198	 4929.76	 15.3621	 39.5433	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.3900	 79.4318	 43.6049	 11.1275	 857.271	 5232.62	 1790.62	 4282.26	 3098.33	 11766.3	 9243.02	 1384.12	 55854.9	 8589.54	 12400.6
     235	 .021146	 .010338	 25.2533	 3.53233	 11.3464	 .000000	 .004379	 2.69776	 .036844	 .095190	 57.0024	 .026646	 .022216	 30.5705	 8.85059	 12.3727	 .000000	 .004516	 6.29339	 .090814	 .250735	 40.9190	 .057006	 .037058	 57.7625	 11.3863	 20.5177	 .000000	 .006088	 9.19826	 .117262	 .319067	 .000000	 99.4011	 .027960	 .044399	 .028343	 .039049	 .011679	 .007510	 .016007	 .010868	 .024967	 .037734	 50.3080	 98.2079	 .295262	 1.04454	 .363020	 -2904.2	 169.391	 .327383	 14.3033	 8.00987	 .001118	 .000358	 1.34887	 .151710	 .322472	 -.00001	 .000458	 .087693	 .001566	 .002872	 90.8327	 4.33415	 5840.66	 479.745	 3823.25	 54.2800	 12.0176	 5059.47	 44.2799	 100.439	 84.9834	 3.69387	 64.6954	 9.70265	 28.9413	 54.3596	 11.3838	 161.400	 30.8328	 64.8209	 5.84926	 .640276	 5775.97	 470.042	 3794.31	 -.07964	 .633783	 4898.07	 13.4471	 35.6178	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.3800	 78.8949	 44.1440	 11.1275	 1618.12	 5232.56	 1790.60	 4282.07	 3098.29	 11766.3	 9242.81	 1384.16	 55855.1	 8589.38	 12400.7
     236	 .007079	 .026949	 25.2261	 3.56018	 11.3424	 .000000	 .012576	 2.69739	 .034709	 .097907	 56.9947	 .008947	 .058093	 30.6314	 8.94775	 12.4063	 .000000	 .013012	 6.31183	 .085815	 .258684	 41.0390	 .019141	 .096903	 57.8774	 11.5113	 20.5733	 .000000	 .017539	 9.22520	 .110807	 .329182	 -.00001	 99.7607	 .028222	 .044686	 .028666	 .037321	 .011757	 .007516	 .014294	 .010903	 .025884	 .037239	 149.535	 40.1119	 .295100	 1.03680	 .362703	 -103.52	 54.3317	 .326892	 15.5219	 7.71062	 .000375	 .000935	 1.35102	 .153399	 .323080	 -.00024	 .001318	 .087976	 .001480	 .002964	 88.5665	 5.41769	 5851.05	 484.134	 3830.78	 52.2603	 10.8847	 5076.45	 45.8562	 99.8968	 86.6022	 3.74313	 66.1220	 8.86545	 29.2805	 54.4751	 9.06052	 162.533	 33.1478	 63.1457	 1.96423	 1.67457	 5784.93	 475.269	 3801.50	 -2.2148	 1.82421	 4913.92	 12.7084	 36.7511	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.3800	 78.8817	 44.1287	 11.1275	 1638.33	 5232.49	 1790.58	 4281.89	 3098.26	 11766.4	 9242.60	 1384.21	 55855.2	 8589.21	 12400.8
     237	 .021083	 .030801	 25.1725	 3.57937	 11.3540	 .005024	 .006800	 2.68516	 .047987	 .108670	 56.9887	 .026731	 .066603	 30.6613	 9.02395	 12.4576	 .009090	 .007057	 6.30276	 .119011	 .288013	 41.1622	 .057186	 .111098	 57.9339	 11.6093	 20.6585	 .012719	 .009513	 9.21195	 .153672	 .366503	  .00000	 100.124	 .028233	 .044369	 .028905	 .038920	 .011688	 .007345	 .014986	 .010765	 .024243	 .036146	 50.6257	 35.2502	 .295030	 1.03356	 .361976	 39.1638	 102.558	 .326782	 10.9608	 6.85795	 .001122	 .001072	 1.35166	 .154741	 .324171	 .000643	 .000714	 .087875	 .002052	 .003300	 92.6190	 5.61249	 5854.56	 489.071	 3843.26	 58.0010	 10.9297	 5066.89	 46.7244	 100.448	 86.7492	 3.69242	 67.1815	 9.64943	 28.9047	 52.0574	 9.94130	 158.612	 29.0974	 59.5266	 5.86984	 1.92007	 5787.38	 479.421	 3814.36	 5.94360	 .988380	 4908.28	 17.6270	 40.9219	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.3900	 78.8994	 44.1260	 11.1275	 1656.24	 5232.43	 1790.56	 4281.70	 3098.22	 11766.5	 9242.39	 1384.26	 55855.4	 8589.05	 12400.9
