"Line Numbers"	              "SiO2  Oxide Percents"	"TiO2  Oxide Percents"	"Al2O3 Oxide Percents"	"FeO   Oxide Percents"	"MgO   Oxide Percents"	"CaO   Oxide Percents"	"Na2O  Oxide Percents"	"Cr2O3 Oxide Percents"	"MnO   Oxide Percents"	"NiO   Oxide Percents"	"Si Formula Atoms"	"Ti Formula Atoms"	"Al Formula Atoms"	"Fe Formula Atoms"	"Mg Formula Atoms"	"Ca Formula Atoms"	"Na Formula Atoms"	"Cr Formula Atoms"	"Mn Formula Atoms"	"Ni Formula Atoms"	"Oxide Totals"	"Formula Totals"	"X Stage Coordinates (mm)"	"Y Stage Coordinates (mm)"	"Z Stage Coordinates (mm)"	"Si Detection Limits"	"Ti Detection Limits"	"Al Detection Limits"	"Fe Detection Limits"	"Mg Detection Limits"	"Ca Detection Limits"	"Na Detection Limits"	"Cr Detection Limits"	"Mn Detection Limits"	"Ni Detection Limits"	"Si Percent Errors"	"Ti Percent Errors"	"Al Percent Errors"	"Fe Percent Errors"	"Mg Percent Errors"	"Ca Percent Errors"	"Na Percent Errors"	"Cr Percent Errors"	"Mn Percent Errors"	"Ni Percent Errors"	
"Un   10  CK-3_AOI_1"
52.000000   	  54.478710   	.106453     	4.232410    	6.194499    	32.852242   	1.071179    	.114886     	.619851     	.123888     	.049209     	1.890587    	.002778     	.173107     	.179780     	1.699610    	.039829     	.007730     	.017007     	.003642     	.001373     	99.843323   	10.015444   	40.151901   	80.548599   	11.016500   	.023616     	.040567     	.025263     	.038422     	.009745     	.007388     	.014977     	.010670     	.025366     	.035830     	.277749     	34.404293   	1.214554    	1.453659    	.281801     	1.110236    	10.368642   	1.727403    	13.835554   	44.724781   	
53.000000   	  55.022282   	.188291     	4.441202    	6.264851    	31.857183   	1.116426    	.094780     	.798304     	.155004     	.115606     	1.904217    	.004900     	.181148     	.181323     	1.643613    	.041397     	.006360     	.021844     	.004544     	.003218     	100.053940  	9.992564    	39.859901   	80.542198   	11.016500   	.024962     	.047928     	.026125     	.036204     	.010100     	.007315     	.015455     	.010674     	.024448     	.035501     	.276316     	23.704477   	1.185383    	1.438704    	.286571     	1.081447    	12.437263   	1.439479    	10.999329   	19.460356   	
54.000000   	  41.168530   	.021112     	.012298     	9.485546    	49.576214   	.097370     	.005021     	.024117     	.141930     	.388466     	1.498844    	.000578     	.000528     	.288814     	2.690783    	.003798     	.000354     	.000694     	.004377     	.011375     	100.920609  	10.500145   	39.312599   	80.392403   	11.016500   	.024782     	.039489     	.025877     	.037132     	.009843     	.007209     	.014688     	.010554     	.025085     	.035341     	.328903     	151.858215  	188.625824  	1.156009    	.229616     	5.921584    	188.278214  	30.806732   	12.127891   	6.440186    	
55.000000   	  .054949     	.178022     	44.630650   	13.508031   	17.609278   	.006718     	.000000     	19.700903   	.146721     	.303994     	.002345     	.005714     	2.245206    	.482196     	1.120527    	.000307     	.000000     	.664868     	.005305     	.010436     	96.139259   	10.536905   	38.552601   	80.586800   	11.016500   	.029268     	.043898     	.028440     	.040795     	.011763     	.007509     	.017548     	.011396     	.027130     	.037852     	54.505188   	23.069773   	.340136     	.954303     	.408068     	74.760384   	-1318.95410 	.220317     	12.486585   	8.385930    	
56.000000   	  55.490158   	.042563     	4.226872    	6.311515    	32.279976   	1.068558    	.140211     	.619985     	.148873     	.063310     	1.912237    	.001103     	.171673     	.181896     	1.658339    	.039454     	.009368     	.016892     	.004345     	.001755     	100.392029  	9.997062    	38.330399   	80.035797   	11.016500   	.023584     	.043742     	.025207     	.036009     	.010104     	.007263     	.013898     	.010622     	.024687     	.035850     	.274761     	85.116249   	1.213122    	1.433161    	.284541     	1.108583    	8.461314    	1.723191    	11.485354   	35.011284   	
57.000000   	  41.048668   	.000000     	.027088     	9.661009    	49.019711   	.091641     	.006643     	.024012     	.143308     	.299481     	1.503634    	.000000     	.001169     	.295958     	2.676875    	.003597     	.000472     	.000695     	.004446     	.008823     	100.321564  	10.495669   	38.204399   	79.847702   	11.016500   	.024800     	.043050     	.025940     	.036713     	.010119     	.007469     	.015736     	.010687     	.025093     	.035784     	.329352     	-556.77155  	86.486237   	1.144724    	.231086     	6.389441    	152.750076  	31.310371   	12.026930   	8.157712    	
"Un   11  CK-3_AOI_2"
58.000000   	  52.244499   	.306380     	5.853997    	3.392635    	16.070873   	19.757999   	1.276275    	1.168381    	.101778     	.035399     	1.888340    	.008328     	.249373     	.102551     	.865951     	.765152     	.089441     	.033389     	.003116     	.001029     	100.208221  	10.006672   	37.107601   	76.697502   	10.997000   	.023871     	.042021     	.024304     	.039904     	.010726     	.007833     	.014985     	.011353     	.025789     	.036588     	.277263     	14.741785   	.968790     	2.027709    	.413134     	.235894     	2.058381    	1.139877    	16.790850   	63.027267   	
59.000000   	  53.978634   	.027361     	4.272666    	6.128525    	32.569584   	1.061779    	.112554     	.611890     	.164498     	.086533     	1.889427    	.000720     	.176264     	.179403     	1.699553    	.039821     	.007639     	.016934     	.004877     	.002436     	99.014023   	10.017074   	37.784401   	76.331200   	10.997000   	.023712     	.046714     	.025251     	.039337     	.009772     	.007535     	.014782     	.010931     	.024154     	.035782     	.279084     	138.331039  	1.207460    	1.463966    	.283004     	1.119591    	10.456323   	1.764101    	10.346705   	25.843979   	
