"Line Numbers"	              "SiO2  Oxide Percents"	"TiO2  Oxide Percents"	"Al2O3 Oxide Percents"	"FeO   Oxide Percents"	"MgO   Oxide Percents"	"CaO   Oxide Percents"	"Na2O  Oxide Percents"	"Cr2O3 Oxide Percents"	"MnO   Oxide Percents"	"NiO   Oxide Percents"	"Si Formula Atoms"	"Ti Formula Atoms"	"Al Formula Atoms"	"Fe Formula Atoms"	"Mg Formula Atoms"	"Ca Formula Atoms"	"Na Formula Atoms"	"Cr Formula Atoms"	"Mn Formula Atoms"	"Ni Formula Atoms"	"Oxide Totals"	"Formula Totals"	"X Stage Coordinates (mm)"	"Y Stage Coordinates (mm)"	"Z Stage Coordinates (mm)"	"Si Detection Limits"	"Ti Detection Limits"	"Al Detection Limits"	"Fe Detection Limits"	"Mg Detection Limits"	"Ca Detection Limits"	"Na Detection Limits"	"Cr Detection Limits"	"Mn Detection Limits"	"Ni Detection Limits"	"Si Percent Errors"	"Ti Percent Errors"	"Al Percent Errors"	"Fe Percent Errors"	"Mg Percent Errors"	"Ca Percent Errors"	"Na Percent Errors"	"Cr Percent Errors"	"Mn Percent Errors"	"Ni Percent Errors"	
"Un    3  CK-2_sp1"
25.000000   	  .000000     	.109635     	56.658226   	11.509324   	20.026375   	.000000     	.000000     	9.206184    	.112552     	.347139     	.000000     	.002183     	1.767706    	.254803     	.790328     	.000000     	.000000     	.192687     	.002524     	.007391     	97.969429   	7.017621    	75.676003   	78.157700   	11.103000   	.028567     	.042788     	.029067     	.041435     	.011637     	.007512     	.016526     	.010867     	.026093     	.037534     	-263.33481  	34.712578   	.297048     	1.041077    	.369847     	-96.56442   	-328.48120  	.329271     	15.418530   	7.409720    	
26.000000   	  55.196766   	.127995     	4.550216    	6.441792    	32.690407   	.823418     	.111642     	.335200     	.127695     	.092211     	1.266547    	.002209     	.123054     	.123617     	1.118259    	.020244     	.004967     	.006081     	.002482     	.001702     	100.497330  	6.669161    	74.895500   	78.074203   	11.094000   	.024171     	.041741     	.025573     	.036195     	.010106     	.007378     	.013908     	.010769     	.024807     	.034735     	.276282     	29.927881   	1.166055    	1.419526    	.282870     	1.298658    	10.137884   	2.796298    	13.225704   	23.666716   	
"Un    4  CK-2_AOI_1"
27.000000   	  40.948814   	.000000     	.000000     	10.049616   	48.983437   	.075251     	.000000     	.003078     	.169988     	.319044     	1.499858    	.000000     	.000000     	.307839     	2.674685    	.002953     	.000000     	.000089     	.005274     	.009398     	100.549225  	10.500095   	74.802299   	77.537598   	11.094000   	.025002     	.043706     	.027164     	.038519     	.009881     	.007419     	.015590     	.010586     	.023912     	.036798     	.329960     	-83.20454   	-87.62829   	1.123602    	.231480     	7.537053    	-3644.57349 	237.627838  	9.974381    	7.881178    	
28.000000   	  55.107868   	.118577     	4.510227    	6.398166    	32.355320   	.816523     	.094956     	.333644     	.191357     	.023231     	1.905787    	.003084     	.183830     	.185046     	1.668095    	.030255     	.006367     	.009123     	.005605     	.000646     	99.949867   	9.997837    	74.815697   	77.174500   	11.094000   	.023779     	.042002     	.025752     	.039136     	.010134     	.007390     	.014560     	.010580     	.023935     	.036755     	.275977     	32.127850   	1.172070    	1.430249    	.283981     	1.304540    	11.915517   	2.775022    	9.018091    	95.935509   	
29.000000   	  50.853336   	.399392     	7.005022    	3.348166    	14.899875   	19.739685   	1.607723    	.759420     	.090997     	.049447     	1.866980    	.011027     	.303100     	.102800     	.815487     	.776472     	.114441     	.022044     	.002830     	.001460     	98.753067   	10.016642   	74.298103   	78.888199   	11.094000   	.024454     	.044892     	.024772     	.038644     	.010047     	.007974     	.016500     	.011307     	.025720     	.035782     	.281538     	12.475406   	.875387     	2.034400    	.429149     	.236014     	1.828019    	1.536787    	18.581142   	44.453499   	
"Un    5  CK-2_AOI_2"
30.000000   	  40.786449   	.000000     	.000000     	9.571119    	45.895298   	.080474     	.012576     	.013435     	.103630     	.343399     	1.544205    	.000000     	.000000     	.303052     	2.590429    	.003264     	.000923     	.000402     	.003323     	.010456     	96.806381   	10.456055   	76.138397   	76.695396   	11.094000   	.024902     	.045347     	.026376     	.039014     	.009962     	.007173     	.014273     	.010522     	.026139     	.036544     	.329734     	-232.37560  	-460.72745  	1.152927    	.239197     	6.938021    	74.556892   	54.618286   	16.692745   	7.346864    	
31.000000   	  54.790619   	.082090     	4.338152    	6.131553    	30.445637   	.788031     	.109168     	.311499     	.134974     	.070122     	1.940866    	.002187     	.181113     	.181645     	1.607788    	.029909     	.007498     	.008724     	.004050     	.001998     	97.201859   	9.965776    	76.045502   	76.223900   	11.094000   	.023804     	.045421     	.024967     	.038070     	.010151     	.007416     	.014779     	.010709     	.025049     	.035693     	.276190     	47.574532   	1.189455    	1.460091    	.292836     	1.333912    	10.721178   	2.957371    	12.677264   	31.579861   	
32.000000   	  54.468975   	.118492     	4.547496    	6.434807    	30.444382   	.788077     	.098594     	.324055     	.141633     	.061002     	1.929059    	.003156     	.189813     	.190588     	1.607377    	.029904     	.006770     	.009074     	.004249     	.001738     	97.427521   	9.971727    	76.161499   	77.064903   	11.094000   	.023594     	.041254     	.024802     	.037415     	.009991     	.007607     	.014142     	.010785     	.025657     	.035846     	.277127     	31.715933   	1.155821    	1.421280    	.293076     	1.341102    	11.337101   	2.875529    	12.374381   	36.293270   	
